Date,SPY,QQQ,TLT,GLD,USO
6/9/2025,599.68,530.7,85.44,306.62,72.05
6/6/2025,599.14,529.92,85.35,305.18,71.38
6/5/2025,593.05,524.79,86.45,309.33,69.93
6/4/2025,595.93,528.77,86.39,310.9,69.34
6/3/2025,596.09,527.3,85.01,308.91,69.89
6/2/2025,592.71,523.21,85.16,311.67,69.55
5/30/2025,589.39,519.11,86.28,303.6,67.15
5/29/2025,590.05,519.93,86.15,305.61,67.19
5/28/2025,587.73,518.91,85.36,303.81,67.89
5/27/2025,591.15,521.22,85.73,304.5,67.28
5/23/2025,579.11,509.24,84.55,309.75,67.99
5/22/2025,583.09,514,84.41,303.11,67.14
5/21/2025,582.86,513.04,83.97,305.82,67.59
5/20/2025,592.85,520.27,85.43,303.58,68.66
5/19/2025,594.85,522.01,86.05,298.03,68.51
5/16/2025,594.2,521.51,86.3,294.24,68.1
5/15/2025,590.46,519.25,86.07,297.84,67.59
5/14/2025,587.59,518.68,85.32,293.16,68.73
5/13/2025,586.84,515.59,85.89,299.46,69.59
5/12/2025,582.99,507.85,86.24,298.19,67.6
5/9/2025,564.34,487.97,87.05,306.84,66.61
5/8/2025,565.06,488.29,86.92,304.63,65.6
5/7/2025,561.15,483.3,87.9,310.75,63.51
5/6/2025,558.8,481.41,87.53,315.48,64.6
5/5/2025,563.51,485.93,87.24,306.88,62.37
5/2/2025,566.76,488.83,87.73,297.98,64.01
5/1/2025,558.47,481.68,88.69,297.46,64.52
4/30/2025,554.54,475.47,89.47,303.77,63.56
4/29/2025,554.32,475.53,90.2,306.06,65.85
4/28/2025,550.85,472.41,89.45,309.07,67.76
4/25/2025,550.64,472.56,88.89,304.73,69.03
4/24/2025,546.69,467.35,88.24,308.07,68.46
4/23/2025,535.42,454.56,87.32,303.65,68.05
4/22/2025,527.25,444.48,86.48,311.11,69.37
4/21/2025,513.88,433.11,86,315.59,68.62
4/17/2025,526.41,444.1,87.53,306.12,69.48
4/16/2025,525.66,444.18,88.31,307.47,67.75
4/15/2025,537.61,457.99,87.82,297.78,66.48
4/14/2025,539.12,457.48,87.51,296.23,66.66
4/11/2025,533.94,454.4,86.89,297.93,66.46
4/10/2025,524.58,446.18,86.42,292.35,65.32
4/9/2025,548.62,466,88.87,285.38,67.58
4/8/2025,496.48,416.06,88.35,275.2,63.34
4/7/2025,504.38,423.69,90.05,273.71,65.98
4/4/2025,505.28,422.67,92.85,279.72,67.92
4/3/2025,536.7,450.66,91.85,286.42,72.25
4/2/2025,564.52,476.15,91.43,288.16,77.74
4/1/2025,560.97,472.7,91.49,287.57,77.08
3/31/2025,559.39,468.92,91.03,288.14,77.33
3/28/2025,555.66,468.94,90.14,284.06,74.77
3/27/2025,567.08,481.62,88.91,281.97,75.48
3/26/2025,568.59,484.38,89.17,278.24,75.42
3/25/2025,575.46,493.46,89.76,278.47,74.82
3/24/2025,574.08,490.66,89.77,277.25,74.88
3/21/2025,563.98,480.84,90.7,278.49,73.79
3/20/2025,565.49,479.26,91.24,280.75,73.73
3/19/2025,567.13,480.89,91.18,281.11,72.42
3/18/2025,561.02,474.54,90.71,279.96,72.21
3/17/2025,567.15,482.77,90.62,276.73,72.71
3/14/2025,562.81,479.66,90.17,275.24,72.28
3/13/2025,551.42,468.34,90.65,275.13,71.62
3/12/2025,558.87,476.92,89.86,270.33,72.8
3/11/2025,555.92,471.6,90.4,269.16,71.45
3/10/2025,560.58,472.73,91.05,266.04,70.89
3/7/2025,575.92,491.79,90.11,268.39,72.09
3/6/2025,572.71,488.2,90.4,268.25,71.13
3/5/2025,583.06,502.01,90.7,269.62,71.42
3/4/2025,576.86,495.55,91.43,269.06,73.31
3/3/2025,583.77,497.05,92.57,266.74,73.32
2/28/2025,594.18,508.17,92.43,263.27,75.22
2/27/2025,585.05,500.27,91.31,264.93,75.28
2/26/2025,594.54,514.56,91.96,269.03,73.85
2/25/2025,594.24,513.32,91.42,268.62,74.13
2/24/2025,597.21,519.87,89.87,272.21,75.97
2/21/2025,599.94,526.08,89.61,270.74,75.35
2/20/2025,610.38,537.23,88.54,270.99,77.76
2/19/2025,612.93,539.52,88.21,270.85,77.45
2/18/2025,611.49,539.37,88.1,270.7,76.96
2/14/2025,609.7,538.15,89.15,266.29,75.82
2/13/2025,609.73,535.9,88.68,270.31,76.39
2/12/2025,603.36,528.3,87.23,267.67,76.32
2/11/2025,605.31,527.99,88.43,267.39,78.27
2/10/2025,604.85,529.25,89,268.37,77.4
2/7/2025,600.77,522.92,89.27,263.9,75.86
2/6/2025,606.32,529.6,89.85,263.43,75.45
2/5/2025,604.22,526.85,89.89,264.13,76.09
2/4/2025,601.78,524.47,88.43,262.5,77.51
2/3/2025,597.77,518.11,88.16,259.94,77.82
1/31/2025,601.82,522.29,87.76,258.56,78.02
1/30/2025,605.04,523.05,88.34,258.05,77.75
1/29/2025,601.81,520.83,88.01,254.2,77.78
1/28/2025,604.52,521.81,88.19,255.18,78.86
1/27/2025,599.37,514.21,88.25,252.99,77.93
1/24/2025,607.97,529.63,87.22,255.65,79.6
1/23/2025,609.75,532.64,86.83,254.07,79.21
1/22/2025,606.44,531.51,87.51,254.43,80.43
1/21/2025,603.05,524.8,87.97,253.13,81.11
1/17/2025,597.58,521.74,87.19,249.27,82.52
1/16/2025,591.64,513.08,87.04,250.6,82.94
1/15/2025,592.78,516.7,86.76,248.88,84.34
1/14/2025,582.19,505.08,85.29,247.03,81.67
1/13/2025,581.39,505.56,85.43,245.74,82.23
1/10/2025,580.49,507.19,85.46,248.21,80.64
1/8/2025,589.49,515.27,86.03,245.86,77.3
1/7/2025,588.63,515.18,85.92,244.56,78.17
1/6/2025,595.36,524.54,86.9,243.19,77.3
1/3/2025,591.95,518.58,87.29,243.49,77.92
1/2/2025,584.64,510.23,87.57,245.42,76.93
12/31/2024,586.08,511.23,87.33,242.13,75.55
12/30/2024,588.22,515.61,87.8,240.63,74.82
12/27/2024,595.01,522.56,87.1,241.4,73.85
12/26/2024,601.34,529.6,87.82,243.07,73.13
12/24/2024,601.3,529.96,87.87,241.44,73.65
12/23/2024,594.69,522.87,87.5,240.96,73.06
12/20/2024,591.15,518.66,88.31,242.1,73.1
12/19/2024,586.1,514.17,87.81,239.6,72.61
12/18/2024,586.28,516.47,89.16,239.26,72.94
12/17/2024,604.29,535.8,90.64,243.94,73.3
12/16/2024,606.79,538.17,90.42,244.88,73.7
12/13/2024,604.21,530.53,90.15,244.29,74.21
12/12/2024,604.33,526.5,91.08,247.28,73.21
12/11/2024,607.46,529.92,92.2,250.96,73.33
12/10/2024,602.8,520.6,93.08,248.59,71.4
12/9/2024,604.68,522.38,93.52,245.36,71.17
12/6/2024,607.81,526.48,94.39,242.95,70.24
12/5/2024,606.66,521.81,94.25,242.86,71.47
12/4/2024,607.66,523.26,94.06,244.67,71.88
12/3/2024,603.91,516.87,93.06,243.93,73.04
12/2/2024,603.63,515.29,93.87,243.44,71.04
11/29/2024,602.55,509.74,93.97,245.59,71.61
11/27/2024,598.83,505.3,93.01,243.49,71.72
11/26/2024,600.65,509.31,92.37,242.95,71.61
11/25/2024,597.53,506.59,92.73,242.48,72.1
11/22/2024,595.51,505.79,90.39,249.84,74.25
11/21/2024,593.67,504.98,90.34,246.66,73.2
11/20/2024,590.5,503.17,90.41,244.62,72.02
11/19/2024,590.3,503.46,90.7,243.25,72.31
11/18/2024,588.15,500.02,90.24,241.09,72.07
11/15/2024,585.75,496.57,90.08,236.59,69.75
11/14/2024,593.35,508.69,90.32,237.01,71.29
11/13/2024,597.19,512.25,89.8,237.63,70.73
11/12/2024,596.9,512.91,90.66,240.05,70.69
11/11/2024,598.76,513.84,92.04,242.14,70.94
11/8/2024,598.19,514.14,92.49,247.96,73.13
11/7/2024,595.61,513.54,91.33,249.65,74.66
11/6/2024,591.04,505.58,90.2,245.7,74.54
11/5/2024,576.7,492.21,92.74,253.4,74.73
11/4/2024,569.81,486.01,92.25,252.83,74.29
11/1/2024,571.04,487.43,90.84,252.47,72.02
10/31/2024,568.64,483.85,92.45,253.51,73.08
10/30/2024,580.01,496.38,92.3,257.5,71.36
10/29/2024,581.77,500.16,92.03,256.09,69.66
10/28/2024,580.83,495.4,91.89,253.33,70.43
10/25/2024,579.04,495.32,92.14,253.32,74.23
10/24/2024,579.24,492.32,92.66,252.8,73.06
10/23/2024,577.99,488.36,92.07,250.87,73.55
10/22/2024,583.32,495.96,92.32,253.93,73.98
10/21/2024,583.63,495.42,92.23,251.22,72.26
10/18/2024,584.59,494.47,93.87,251.27,71.38
10/17/2024,582.35,491.25,93.8,248.63,72.62
10/16/2024,582.3,490.91,95.31,247.15,72.4
10/15/2024,579.78,490.85,94.91,245.92,72.76
10/14/2024,584.32,497.5,93.765,245.07,75.93
10/11/2024,579.58,493.36,93.7,245.47,77.49
10/10/2024,576.13,492.59,94.08,242.82,77.77
10/9/2024,577.14,493.15,94.45,241.05,75.25
10/8/2024,573.17,489.3,94.99,242.37,75.79
10/7/2024,567.8,482.1,94.83,244.17,79.2
10/4/2024,572.98,487.32,95.55,245,76.35
10/3/2024,567.82,481.59,96.74,245.49,75.73
10/2/2024,568.86,481.95,97.66,245.66,72.76
10/1/2024,568.62,481.27,98.49,245.61,72.11
9/30/2024,573.76,488.07,98.1,243.06,69.92
9/27/2024,571.47,486.75,98.57,245.02,70.27
9/26/2024,572.3,489.47,98.06,246.98,69.01
9/25/2024,570.04,485.82,97.83,245.73,71.48
9/24/2024,571.3,485.37,98.65,246.07,73.29
9/23/2024,569.67,483.04,98.67,242.68,72.25
9/20/2024,568.25,482.44,98.88,242.21,72.92
9/19/2024,570.98,483.36,99.26,239.17,72.75
9/18/2024,561.4,471.44,99.59,235.51,70.66
9/17/2024,563.07,473.49,100.84,237.34,71.72
9/16/2024,562.84,473.24,101.33,238.66,70.88
9/13/2024,562.01,475.34,100.41,238.68,69.84
9/12/2024,559.09,473.22,100.14,236.33,69.89
9/11/2024,554.42,468.62,100.61,232.25,67.85
9/10/2024,548.79,458.66,100.69,232.62,66.96
9/9/2024,546.41,454.46,99.99,231.6,69.27
9/6/2024,540.36,448.69,99.56,230.63,68.93
9/5/2024,549.61,461.04,99.57,232.35,69.89
9/4/2024,550.95,460.61,99.01,230.43,69.61
9/3/2024,552.08,461.81,97.75,230.29,71.09
8/30/2024,563.68,476.27,96.49,231.29,74.34
8/29/2024,558.35,470.66,97.53,232.95,76.77
8/28/2024,558.3,471.35,97.85,231.75,75.48
8/27/2024,561.56,476.76,97.97,233.39,76.49
8/26/2024,560.79,475.34,98.14,232.76,77.83
8/23/2024,562.13,480,98.39,232.02,75.55
8/22/2024,556.22,474.85,97.75,229.37,73.58
8/21/2024,560.62,482.5,98.73,232.15,72.6
8/20/2024,558.7,480.26,98.67,232.46,73.83
8/19/2024,559.61,481.27,97.89,231.61,74.38
8/16/2024,554.31,475.03,97.44,231.99,76.32
8/15/2024,553.07,474.42,97.1,226.91,77.41
8/14/2024,543.75,462.73,97.89,226.2,76.59
8/13/2024,542.04,462.58,97.28,228.06,77.64
8/12/2024,533.27,451.38,96.61,228.41,78.63
8/9/2024,532.99,450.41,96.26,224.56,76.22
8/8/2024,530.65,448.07,95.32,224.01,75.36
8/7/2024,518.66,434.77,95.91,220.55,74.69
8/6/2024,522.15,439.53,96.59,220.7,72.45
8/5/2024,517.38,435.37,98.8,222.48,73.22
8/2/2024,532.9,448.75,98.28,225.34,73.39
8/1/2024,543.01,459.66,95.31,225.77,76.29
7/31/2024,550.81,471.07,94.81,226.55,77.74
7/30/2024,542,457.53,93.85,222.52,74.46
7/29/2024,544.76,463.9,93.49,220.32,75.19
7/26/2024,544.44,462.97,92.99,220.63,76.11
7/25/2024,538.41,458.27,92.27,218.33,77.46
7/24/2024,541.23,463.38,91.52,221.8,76.81
7/23/2024,553.78,480.62,92.52,222.58,76.62
7/22/2024,554.65,482.32,92.65,221.8,77.62
7/19/2024,548.99,475.24,92.92,221.73,78
7/18/2024,552.66,479.49,93.47,225.78,79.9
7/17/2024,556.94,481.77,94.19,227.23,80.62
7/16/2024,564.86,496.34,94.17,228.29,79.06
7/15/2024,561.53,496.15,92.86,223.83,80.12
7/12/2024,559.99,494.82,93.94,223.11,80.25
7/11/2024,556.48,491.93,93.54,223.25,80.94
7/10/2024,561.32,502.96,92.64,219.36,80.48
7/9/2024,555.82,497.77,92.35,218.56,79.77
7/8/2024,555.28,497.34,92.76,218.19,80.42
7/5/2024,554.64,496.16,92.56,220.93,81.31
7/3/2024,551.46,491.04,91.8,217.99,81.27
7/2/2024,549.01,486.98,90.61,215.56,81.11
7/1/2024,545.34,481.92,89.91,215.57,81.54
6/28/2024,544.22,479.11,91.78,215.01,79.59
6/27/2024,546.37,481.61,93.52,214.99,79.92
6/26/2024,545.51,480.37,93.15,212.58,78.75
6/25/2024,544.83,479.38,94.5,214.56,78.9
6/24/2024,542.74,473.96,94.34,215.63,79.7
6/21/2024,544.51,480.18,93.96,214.78,78.65
6/20/2024,547,481.47,93.96,218.16,79.41
6/18/2024,548.49,485.21,94.59,215.47,78.67
6/17/2024,547.1,485.06,93.73,214.61,77.79
6/14/2024,542.78,479.19,94.67,215.73,76.08
6/13/2024,542.45,476.72,93.88,212.97,75.74
6/12/2024,541.36,474.15,92.52,214.72,75.98
6/11/2024,536.95,468.02,91.83,214.15,75.51
6/10/2024,535.66,464.83,90.89,213.54,75.46
6/7/2024,534.01,462.96,91.5,211.6,73.02
6/6/2024,534.66,463.37,93.21,219.43,73.26
6/5/2024,534.67,463.53,93.35,217.82,71.89
6/4/2024,528.39,454.37,92.67,215.27,71.09
6/3/2024,527.8,453.13,91.6,217.22,71.83
5/31/2024,527.37,450.71,90.45,215.3,74.82
5/30/2024,522.61,451.55,89.84,216.57,75.53
5/29/2024,526.1,456.44,88.98,216.16,76.57
5/28/2024,529.81,459.68,90.07,218.19,77.66
5/24/2024,529.44,457.95,91.38,215.92,75.35
5/23/2024,525.96,453.66,91.11,215.72,74.45
5/22/2024,529.83,455.71,91.7,220.11,74.87
5/21/2024,531.36,455.8,91.59,224.23,76.16
5/20/2024,530.06,454.91,91.12,224.56,76.73
5/17/2024,529.45,451.76,91.39,223.66,76.97
5/16/2024,528.69,451.98,92.01,220.03,76.25
5/15/2024,529.78,452.9,92.1,220.89,75.88
5/14/2024,523.3,445.93,90.86,218.09,75.21
5/13/2024,520.91,443.08,90.35,216.26,76.13
5/10/2024,520.84,442.06,90.12,218.71,75.3
5/9/2024,520.17,441.02,90.63,216.95,76.52
5/8/2024,517.19,440.06,90.19,213.58,76.11
5/7/2024,517.14,440.32,90.74,214.21,75.5
5/6/2024,516.57,440.25,90.19,215.2,75.66
5/3/2024,511.29,435.48,89.84,212.96,75.13
5/2/2024,505.03,426.9,88.94,213.13,75.93
5/1/2024,500.35,421.52,88.56,213.79,75.93
4/30/2024,501.98,424.59,88.22,211.87,78.38
4/29/2024,510.06,432.75,88.98,216.18,79.5
4/26/2024,508.26,431,88.24,216.62,80.39
4/25/2024,503.49,424.45,87.78,215.92,80.44
4/24/2024,505.41,426.51,88.4,214.64,79.64
4/23/2024,505.65,425.07,89.03,215.04,79.98
4/22/2024,499.72,418.82,89,215.57,78.78
4/19/2024,495.16,414.65,89.15,221.03,78.85
4/18/2024,499.52,423.41,88.83,220.34,78.78
4/17/2024,500.55,425.84,89.28,219.59,78.91
4/16/2024,503.53,431.1,88.3,221.22,81.33
4/15/2024,504.45,431.06,88.89,220.95,81.65
4/12/2024,510.85,438.27,90.29,216.89,81.53
4/11/2024,518,445.37,89.81,219.8,81.55
4/10/2024,514.12,438.37,90.22,215.61,82.09
4/9/2024,519.32,442.23,92.23,217.67,81.15
4/8/2024,518.72,440.6,91.38,216.48,82.2
4/5/2024,518.43,440.47,91.39,215.14,82.4
4/4/2024,513.07,435.34,92.68,211.52,82.27
4/3/2024,519.41,442.1,92.02,212.74,81.25
4/2/2024,518.84,441.11,92.04,210.89,80.79
4/1/2024,522.16,444.95,92.55,207.82,79.67
3/28/2024,523.07,444.01,94.62,205.72,78.73
3/27/2024,523.17,444.83,94.7,203.1,77.51
3/26/2024,518.81,443.32,93.77,201.64,77.29
3/25/2024,519.77,444.76,93.51,200.99,77.76
3/22/2024,521.21,446.38,93.98,200.35,76.68
3/21/2024,522.2,445.87,93.09,201.97,76.82
3/20/2024,520.48,443.77,92.89,202.18,77.25
3/19/2024,515.71,438.57,92.92,199.8,78.43
3/18/2024,512.86,437.48,92.66,200.03,77.98
3/15/2024,509.83,433.92,92.94,199.71,76.33
3/14/2024,514.95,439.14,92.97,200.35,76.3
3/13/2024,515.97,440.25,94.42,201.19,75.09
3/12/2024,516.78,443.66,94.88,199.79,73.35
3/11/2024,511.28,437.39,95.68,202,73.62
3/8/2024,511.72,439.02,95.73,201.63,73.36
3/7/2024,514.81,445.45,95.9,199.94,74.23
3/6/2024,509.75,438.79,95.99,198.81,74.34
3/5/2024,507.18,436.05,95.43,197.19,73.45
3/4/2024,512.3,444.02,94.09,196.01,74.01
3/1/2024,512.85,445.61,94.47,192.89,74.96
2/29/2024,508.08,439,94.18,189.31,73.36
2/28/2024,506.26,435.27,93.52,188.34,73.62
2/27/2024,506.93,437.6,92.93,188,73.85
2/26/2024,505.99,436.55,93.59,188.2,72.79
2/23/2024,507.85,436.78,93.87,188.62,71.92
2/22/2024,507.5,438.07,92.63,187.56,73.6
2/21/2024,497.21,425.61,92.18,187.48,73.2
2/20/2024,496.76,427.32,92.84,187.47,72.42
2/16/2024,499.51,430.57,92.76,186.34,73.41
2/15/2024,502.01,434.51,93.3,185.66,72.84
2/14/2024,498.57,433.22,92.82,184.42,71.55
2/13/2024,494.08,428.55,92.35,184.53,72.65
2/12/2024,500.98,435.34,93.96,187.11,72.11
2/9/2024,501.2,437.05,93.85,187.6,71.67
2/8/2024,498.32,432.79,94.04,188.33,71.52
2/7/2024,498.1,431.99,94.59,188.5,69.42
2/6/2024,493.98,427.59,95.05,188.55,68.81
2/5/2024,492.55,428.45,94.13,187.57,68.18
2/2/2024,494.35,429.01,96.07,188.61,67.51
2/1/2024,489.2,421.88,98.24,190.41,69.07
1/31/2024,482.88,416.97,96.66,188.45,70.92
1/30/2024,490.89,425.3,95.72,188.59,72.81
1/29/2024,491.27,428.15,94.86,188.33,72.05
1/26/2024,487.41,423.81,93.78,187.01,73.1
1/25/2024,488.03,426.35,93.96,187.14,72.23
1/24/2024,485.39,425.83,93.35,186.4,70.54
1/23/2024,484.86,423.48,93.9,187.95,69.66
1/22/2024,483.45,421.73,94.65,187.22,69.69
1/19/2024,482.43,421.18,94.09,187.93,68.82
1/18/2024,476.49,412.99,93.79,187.37,69.06
1/17/2024,472.29,407.21,94.67,185.84,67.94
1/16/2024,474.93,409.52,94.82,187.91,67.25
1/12/2024,476.68,409.56,96.52,189.71,68.02
1/11/2024,476.35,409.35,96.71,187.87,67.65
1/10/2024,476.56,408.5,96.17,187.5,66.56
1/9/2024,473.88,405.75,96.62,187.93,67.39
1/8/2024,474.6,404.95,97.24,187.87,66.4
1/5/2024,467.92,396.75,96.29,189.35,69.03
1/4/2024,467.28,396.28,97.22,189.32,67.57
1/3/2024,468.79,398.33,98.72,189.13,68.19
1/2/2024,472.65,402.59,98.31,190.72,65.77
12/29/2023,475.31,409.52,98.88,191.17,66.65
12/28/2023,476.69,411.3,99.78,191.47,67.18
12/27/2023,476.51,411.5,100.51,192.59,68.92
12/26/2023,475.65,410.88,98.76,191.72,70.21
12/22/2023,473.65,408.38,98.475,190.27,68.69
12/21/2023,472.7,407.77,98.93,189.43,69.03
12/20/2023,468.26,403.08,99.56,188.1,68.79
12/19/2023,474.84,409.16,98.89,189.13,69.36
12/18/2023,471.97,407.08,98.36,187.85,68.09
12/15/2023,469.33,405.34,99.15,187,67.15
12/14/2023,472.01,403.39,99.04,188.73,67.16
12/13/2023,470.5,403.74,96.84,187.63,65.33
12/12/2023,464.1,398.67,94.62,183.49,64.25
12/11/2023,461.99,395.52,94.34,183.59,66.8
12/8/2023,460.2,392.17,94.54,185.64,66.53
12/7/2023,458.23,390.43,95.32,188.15,65.11
12/6/2023,454.76,385.05,95.87,187.84,64.76
12/5/2023,456.6,387.29,94.61,187.15,67.58
12/4/2023,456.69,386.32,92.615,187.86,68.47
12/1/2023,459.1,389.94,92.99,192.01,69.24
